EOG093707RF	h2tg000005l	1179733	1192610
EOG093707VN	h2tg000003l	2198773	2209900
EOG093707VN	h2tg000009l	1061222	1072421
EOG093707VQ	h2tg000065l	153223	164196
EOG093707VQ	h2tg000067l	1080552	1091903
EOG093707VQ	h2tg000039l	15613	29990
EOG0937084T	h2tg000012l	3304158	3314394
EOG0937085E	h2tg000026l	1574998	1586852
EOG0937085E	h2tg000005l	2070373	2081650
EOG093708IM	h2tg000010l	221725	234505
EOG093708IM	h2tg000064l	614229	626981
EOG093708OP	h2tg000028l	53016	65411
EOG093708OP	h2tg000054l	981895	994622
EOG093708TP	h2tg000054l	4265939	4278436
EOG0937091Y	h2tg000070l	176426	189916
EOG0937092W	h2tg000011l	2950005	2962162
EOG0937092W	h2tg000037l	2450677	2462794
EOG093709BZ	h2tg000157l	0	11301
EOG093709BZ	h2tg000054l	935164	947506
EOG093709HP	h2tg000009l	1703294	1716265
EOG093709HP	h2tg000003l	1595137	1606021
EOG093709JG	h2tg000042l	1659642	1670219
EOG093709JG	h2tg000025l	4276704	4287271
EOG09370A22	h2tg000009l	1858869	1870597
EOG09370A22	h2tg000003l	1476596	1487785
EOG09370ADO	h2tg000098l	107282	132458
EOG09370ADO	h2tg000018l	233182	244531
EOG09370ADO	h2tg000059l	868177	879491
EOG09370AI8	h2tg000169l	69055	80671
EOG09370AI8	h2tg000241l	42707	54323
EOG09370AI8	h2tg000133l	41799	53415
EOG09370AJP	h2tg000015l	9870415	9882883
EOG09370AL3	h2tg000047l	39052	50156
EOG09370AL3	h2tg000005l	3620082	3631195
EOG09370ARO	h2tg000042l	2553502	2566523
EOG09370AS9	h2tg000011l	3714694	3725688
EOG09370AS9	h2tg000037l	1583591	1594441
EOG09370AV1	h2tg000003l	1990950	2002402
EOG09370AV1	h2tg000252l	0	10489
EOG09370AV1	h2tg000009l	1316205	1327642
EOG09370AWB	h2tg000005l	602185	613785
EOG09370AWB	h2tg000004l	587030	598643
EOG09370B1L	h2tg000025l	1441086	1454797
EOG09370B1L	h2tg000015l	5689197	5703057
EOG09370B7D	h2tg000088l	88988	99233
EOG09370B7D	h2tg000054l	2801825	2812046
EOG09370BBR	h2tg000067l	1362604	1374046
EOG09370BBR	h2tg000052l	978543	989892
EOG09370BGO	h2tg000003l	317987	328166
EOG09370BGO	h2tg000009l	3044290	3054469
EOG09370BJE	h2tg000025l	434135	444967
EOG09370BJE	h2tg000015l	4683034	4693878
EOG09370BK5	h2tg000025l	6054219	6064492
EOG09370BK5	h2tg000042l	31727	42004
EOG09370BQO	h2tg000029l	443606	454554
EOG09370BQO	h2tg000032l	836050	846974
EOG09370BQO	h2tg000186l	42830	53675
EOG09370BYX	h2tg000037l	1721107	1732504
EOG09370BYX	h2tg000011l	3591910	3603032
EOG09370C5A	h2tg000042l	1804887	1815178
EOG09370C5A	h2tg000025l	4129593	4139884
EOG0937017X	h2tg000015l	5991155	6010173
EOG0937017X	h2tg000025l	1783575	1802744
EOG0937017X	h2tg000052l	2137734	2151913
EOG09370CAN	h2tg000025l	5815297	5827700
EOG09370CAN	h2tg000042l	241645	254052
EOG09370CAV	h2tg000029l	5600390	5613581
EOG09370CAV	h2tg000080l	3815888	3828990
EOG09370CF1	h2tg000052l	583935	594243
EOG09370CF1	h2tg000067l	991940	1002248
EOG0937018Z	h2tg000015l	4882101	4896330
